CookerStat, GenerateAssetRegistry=0.022128, Initialize=0.115063, RunGuid=RunID528C2B3246FF3524E9E0A59ED0B1CB50
DDCTransactionIdEB0AC1354ABF16B5DD194F97CE651D3B_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_7DDC800D47755DF21853BFB3609BC6DD__1_0_13123_0, StartTime=2016.05.26-22.11.32, HierarchicalDDC=, DataSize=589, Duration=1.712955, RunGuid=RunID528C2B3246FF3524E9E0A59ED0B1CB50
DDCTransactionIdB054820F4988126A88F194A8C9BDDF89_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_54D12E1F4F0D1AD57E92219C17012AFA__1_0_13123_0, StartTime=2016.05.26-22.11.32, HierarchicalDDC=, DataSize=1231, Duration=1.598444, RunGuid=RunID528C2B3246FF3524E9E0A59ED0B1CB50
DDCTransactionId4FB87B934FAC5D34F6341782858F0693_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D7B84BAA40DE10CE87001ABB75EADE39__1_0_13123_0, StartTime=2016.05.26-22.11.32, HierarchicalDDC=, DataSize=17463, Duration=1.431100, RunGuid=RunID528C2B3246FF3524E9E0A59ED0B1CB50
DDCTransactionIdEB0AC1354ABF16B5DD194F97CE651D3B_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_283D64324C44C08C570847AE44819387__1_0_13123_0, StartTime=2016.05.26-22.11.32, HierarchicalDDC=, DataSize=12739, Duration=1.502741, RunGuid=RunID528C2B3246FF3524E9E0A59ED0B1CB50
DDCTransactionId4FB87B934FAC5D34F6341782858F0693_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_8BE2EF40417E88F7F2459A96317ABBB4__1_0_13123_0, StartTime=2016.05.26-22.11.32, HierarchicalDDC=, DataSize=24797, Duration=1.526251, RunGuid=RunID528C2B3246FF3524E9E0A59ED0B1CB50
DDCTransactionIdB054820F4988126A88F194A8C9BDDF89_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_9253B1FF497E4E32DF59F8817D416346__1_0_13123_0, StartTime=2016.05.26-22.11.32, HierarchicalDDC=, DataSize=15779, Duration=1.493614, RunGuid=RunID528C2B3246FF3524E9E0A59ED0B1CB50
DDCTransactionIdEB0AC1354ABF16B5DD194F97CE651D3B_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_9E737FE14FB82CFE40B5AF9426F9B5DC__1_0_13123_0, StartTime=2016.05.26-22.11.32, HierarchicalDDC=, DataSize=2837, Duration=1.465399, RunGuid=RunID528C2B3246FF3524E9E0A59ED0B1CB50
DDCTransactionId4FB87B934FAC5D34F6341782858F0693_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_9881578348295BEFDA8E3DAB48CD27A4__1_0_13123_0, StartTime=2016.05.26-22.11.32, HierarchicalDDC=, DataSize=5623, Duration=1.468167, RunGuid=RunID528C2B3246FF3524E9E0A59ED0B1CB50
DDCTransactionIdB054820F4988126A88F194A8C9BDDF89_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_DBDBAAFF4D9A1396CF6CDD863824CB8B__1_0_13123_0, StartTime=2016.05.26-22.11.32, HierarchicalDDC=, DataSize=1801, Duration=1.676440, RunGuid=RunID528C2B3246FF3524E9E0A59ED0B1CB50
DDCTransactionIdEB0AC1354ABF16B5DD194F97CE651D3B_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_49127DE247426E124DD760ACA18BF05F__1_0_13123_0, StartTime=2016.05.26-22.11.32, HierarchicalDDC=, DataSize=1571, Duration=1.311060, RunGuid=RunID528C2B3246FF3524E9E0A59ED0B1CB50
DDCTransactionId4FB87B934FAC5D34F6341782858F0693_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_8C0307D04569A4AA295D11A37A452C88__1_0_13123_0, StartTime=2016.05.26-22.11.32, HierarchicalDDC=, DataSize=2555, Duration=1.340933, RunGuid=RunID528C2B3246FF3524E9E0A59ED0B1CB50
DDCTransactionIdB054820F4988126A88F194A8C9BDDF89_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_4039B4B74904EE193CFBACAF29C4B3CE__1_0_13123_0, StartTime=2016.05.26-22.11.32, HierarchicalDDC=, DataSize=1995, Duration=1.770485, RunGuid=RunID528C2B3246FF3524E9E0A59ED0B1CB50
DDCTransactionIdEB0AC1354ABF16B5DD194F97CE651D3B_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_99976DBA4CA94A39751268B16FE79F3F__1_0_13123_0, StartTime=2016.05.26-22.11.32, HierarchicalDDC=, DataSize=4921, Duration=1.175530, RunGuid=RunID528C2B3246FF3524E9E0A59ED0B1CB50
DDCTransactionId4FB87B934FAC5D34F6341782858F0693_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2AF157E64FA52AD3DBDC6BAE8AC65F83__1_0_13123_0, StartTime=2016.05.26-22.11.32, HierarchicalDDC=, DataSize=527, Duration=1.281466, RunGuid=RunID528C2B3246FF3524E9E0A59ED0B1CB50
DDCTransactionIdEB0AC1354ABF16B5DD194F97CE651D3B_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_55ED2088483E43A8B8C5BE9CB71A49E4__1_0_13123_0, StartTime=2016.05.26-22.11.32, HierarchicalDDC=, DataSize=437, Duration=1.336232, RunGuid=RunID528C2B3246FF3524E9E0A59ED0B1CB50
DDCTransactionId4FB87B934FAC5D34F6341782858F0693_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_97F1AAE943086C356DA154AA9593F189__1_0_13123_0, StartTime=2016.05.26-22.11.36, HierarchicalDDC=, DataSize=458, Duration=1.639657, RunGuid=RunID528C2B3246FF3524E9E0A59ED0B1CB50
DDCTransactionIdEB0AC1354ABF16B5DD194F97CE651D3B_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_213EB9F142D32E57C1B60EBA71742050__1_0_13123_0, StartTime=2016.05.26-22.11.36, HierarchicalDDC=, DataSize=458, Duration=1.863148, RunGuid=RunID528C2B3246FF3524E9E0A59ED0B1CB50
DDCTransactionIdB054820F4988126A88F194A8C9BDDF89_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_79A690A44DAD44CA1997C8BE9D077817__1_0_13123_0, StartTime=2016.05.26-22.11.36, HierarchicalDDC=, DataSize=2107, Duration=1.388505, RunGuid=RunID528C2B3246FF3524E9E0A59ED0B1CB50
DDCTransactionId4FB87B934FAC5D34F6341782858F0693_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_306D98CC4984F1B595377EB6F203ACCE__1_0_13123_0, StartTime=2016.05.26-22.11.36, HierarchicalDDC=, DataSize=787, Duration=1.293082, RunGuid=RunID528C2B3246FF3524E9E0A59ED0B1CB50
DDCTransactionIdEB0AC1354ABF16B5DD194F97CE651D3B_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C536D7254DE236A4F274B38FEFBEA8E0__1_0_13123_0, StartTime=2016.05.26-22.11.36, HierarchicalDDC=, DataSize=851, Duration=1.741163, RunGuid=RunID528C2B3246FF3524E9E0A59ED0B1CB50
DDCTransactionIdB054820F4988126A88F194A8C9BDDF89_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D5DB43EA430CCAD6903D21A380A5ACB5__1_0_13123_0, StartTime=2016.05.26-22.11.36, HierarchicalDDC=, DataSize=2035, Duration=1.351722, RunGuid=RunID528C2B3246FF3524E9E0A59ED0B1CB50
