CookerStat, GenerateAssetRegistry=0.039000, Initialize=0.177577, RunGuid=RunID13FDC02D43593C3E6A0AD0BAE5F549A8
DDCTransactionIdB1E04AF744117691282A7887780A0031_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_3F7B654545D8675ADCD13FA34D45C9A2__1_0_13123_0, StartTime=2016.05.19-17.31.49, HierarchicalDDC=, DataSize=458, Duration=1.482274, RunGuid=RunID13FDC02D43593C3E6A0AD0BAE5F549A8
DDCTransactionId84ED0E4D4D41F83C081C7CBF1A7D9D66_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_3F20139142D680DF70CE6A9F008409D9__1_0_13123_0, StartTime=2016.05.19-17.31.49, HierarchicalDDC=, DataSize=458, Duration=1.669530, RunGuid=RunID13FDC02D43593C3E6A0AD0BAE5F549A8
DDCTransactionId570E699C46CCE9C75E6326ABD24A7C75_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D04C8AD94EDF5BF9DB6A6EBA3D9F9522__1_0_13123_0, StartTime=2016.05.19-17.31.49, HierarchicalDDC=, DataSize=1367, Duration=1.329869, RunGuid=RunID13FDC02D43593C3E6A0AD0BAE5F549A8
DDCTransactionIdB1E04AF744117691282A7887780A0031_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_435D1839464BD52924C5369AA2614A2B__1_0_13123_0, StartTime=2016.05.19-17.31.49, HierarchicalDDC=, DataSize=2449, Duration=1.246061, RunGuid=RunID13FDC02D43593C3E6A0AD0BAE5F549A8
DDCTransactionId84ED0E4D4D41F83C081C7CBF1A7D9D66_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A3B0F019490E62803BBCD2BDA18FD001__1_0_13123_0, StartTime=2016.05.19-17.31.49, HierarchicalDDC=, DataSize=385, Duration=1.547549, RunGuid=RunID13FDC02D43593C3E6A0AD0BAE5F549A8
DDCTransactionId570E699C46CCE9C75E6326ABD24A7C75_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C0A1BB964D46300581B7C28539B2243C__1_0_13123_0, StartTime=2016.05.19-17.31.49, HierarchicalDDC=, DataSize=4549, Duration=1.415890, RunGuid=RunID13FDC02D43593C3E6A0AD0BAE5F549A8
DDCTransactionIdB1E04AF744117691282A7887780A0031_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F03ED96C47907C2D40EB968E11DCDA26__1_0_13123_0, StartTime=2016.05.19-17.31.49, HierarchicalDDC=, DataSize=1945, Duration=1.328766, RunGuid=RunID13FDC02D43593C3E6A0AD0BAE5F549A8
DDCTransactionId570E699C46CCE9C75E6326ABD24A7C75_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_64419CB4498012BA0704A59FC8013EEF__1_0_13123_0, StartTime=2016.05.19-17.31.49, HierarchicalDDC=, DataSize=461, Duration=1.734529, RunGuid=RunID13FDC02D43593C3E6A0AD0BAE5F549A8
DDCTransactionId84ED0E4D4D41F83C081C7CBF1A7D9D66_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A56F08FF434C765C62D2A4A2BCC52FBD__1_0_13123_0, StartTime=2016.05.19-17.31.49, HierarchicalDDC=, DataSize=499, Duration=1.902148, RunGuid=RunID13FDC02D43593C3E6A0AD0BAE5F549A8
DDCTransactionIdB1E04AF744117691282A7887780A0031_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E71ADF14411E2C8DE01A5A95A5ECEDD3__1_0_13123_0, StartTime=2016.05.19-17.31.49, HierarchicalDDC=, DataSize=347, Duration=1.881123, RunGuid=RunID13FDC02D43593C3E6A0AD0BAE5F549A8
