CookerStat, GenerateAssetRegistry=0.023235, Initialize=0.116721, RunGuid=RunIDB2054F7B4044DBEC3530C0A8ACF4C293
DDCTransactionId1DB1223F4B762086E01976B5D46061D8_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A273C0054F7C531848B9ADA0AFADFB66__1_0_13123_0, StartTime=2016.05.26-19.04.09, HierarchicalDDC=, DataSize=589, Duration=1.459315, RunGuid=RunIDB2054F7B4044DBEC3530C0A8ACF4C293
DDCTransactionId0D09764645600D04F0B5819B04BD61AC_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A11F88704F8B14B5B5BE18B3CEA65F2F__1_0_13123_0, StartTime=2016.05.26-19.04.09, HierarchicalDDC=, DataSize=447, Duration=1.283955, RunGuid=RunIDB2054F7B4044DBEC3530C0A8ACF4C293
DDCTransactionIdCDBB6C90404EC455A2B3B7B7CA40CB53_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_79E3614E4B4C5FE6752126BA1AD6409F__1_0_13123_0, StartTime=2016.05.26-19.04.09, HierarchicalDDC=, DataSize=679, Duration=1.203466, RunGuid=RunIDB2054F7B4044DBEC3530C0A8ACF4C293
DDCTransactionId0D09764645600D04F0B5819B04BD61AC_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D0956FAE4CB034427ADDE2A6829CD76F__1_0_13123_0, StartTime=2016.05.26-19.04.09, HierarchicalDDC=, DataSize=458, Duration=1.850419, RunGuid=RunIDB2054F7B4044DBEC3530C0A8ACF4C293
DDCTransactionIdCDBB6C90404EC455A2B3B7B7CA40CB53_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_ED8828EB411FC783DCB310BD0A15D8F6__1_0_13123_0, StartTime=2016.05.26-19.04.09, HierarchicalDDC=, DataSize=1955, Duration=1.739785, RunGuid=RunIDB2054F7B4044DBEC3530C0A8ACF4C293
DDCTransactionId1DB1223F4B762086E01976B5D46061D8_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D4C57B23449F5BA7AC89368EAC1924DE__1_0_13123_0, StartTime=2016.05.26-19.04.09, HierarchicalDDC=, DataSize=787, Duration=1.362782, RunGuid=RunIDB2054F7B4044DBEC3530C0A8ACF4C293
DDCTransactionId0D09764645600D04F0B5819B04BD61AC_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_0C5F1D5841752B384E652B85D6D30412__1_0_13123_0, StartTime=2016.05.26-19.04.09, HierarchicalDDC=, DataSize=737, Duration=1.677271, RunGuid=RunIDB2054F7B4044DBEC3530C0A8ACF4C293
DDCTransactionId1DB1223F4B762086E01976B5D46061D8_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_085A380F4F192833697B899A066E1098__1_0_13123_0, StartTime=2016.05.26-19.04.09, HierarchicalDDC=, DataSize=1417, Duration=1.357805, RunGuid=RunIDB2054F7B4044DBEC3530C0A8ACF4C293
DDCTransactionIdCDBB6C90404EC455A2B3B7B7CA40CB53_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_5471DC3D4FE42447D301FCB58CE72334__1_0_13123_0, StartTime=2016.05.26-19.04.09, HierarchicalDDC=, DataSize=4899, Duration=1.712955, RunGuid=RunIDB2054F7B4044DBEC3530C0A8ACF4C293
DDCTransactionId0D09764645600D04F0B5819B04BD61AC_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_BD14CE914FA77441F03FF5BE65B8B246__1_0_13123_0, StartTime=2016.05.26-19.04.09, HierarchicalDDC=, DataSize=449, Duration=1.335401, RunGuid=RunIDB2054F7B4044DBEC3530C0A8ACF4C293
DDCTransactionId1DB1223F4B762086E01976B5D46061D8_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_AAE3329641B611C6F75CC5AB6AF4E0E0__1_0_13123_0, StartTime=2016.05.26-19.04.09, HierarchicalDDC=, DataSize=1805, Duration=1.375787, RunGuid=RunIDB2054F7B4044DBEC3530C0A8ACF4C293
DDCTransactionId0D09764645600D04F0B5819B04BD61AC_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E4F1EF2D4A535B85835191B6F26CEBA4__1_0_13123_0, StartTime=2016.05.26-19.04.09, HierarchicalDDC=, DataSize=3503, Duration=1.148146, RunGuid=RunIDB2054F7B4044DBEC3530C0A8ACF4C293
DDCTransactionIdCDBB6C90404EC455A2B3B7B7CA40CB53_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_0E8D03E14B9662E264BF4E9E7A065F4D__1_0_13123_0, StartTime=2016.05.26-19.04.09, HierarchicalDDC=, DataSize=461, Duration=1.665104, RunGuid=RunIDB2054F7B4044DBEC3530C0A8ACF4C293
DDCTransactionId1DB1223F4B762086E01976B5D46061D8_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_9CDF626A4565DDF65CAEC6AED2168743__1_0_13123_0, StartTime=2016.05.26-19.04.09, HierarchicalDDC=, DataSize=461, Duration=1.592912, RunGuid=RunIDB2054F7B4044DBEC3530C0A8ACF4C293
DDCTransactionId0D09764645600D04F0B5819B04BD61AC_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_4E4BE00C4CC7190647F7B1AD8B339D6B__1_0_13123_0, StartTime=2016.05.26-19.04.09, HierarchicalDDC=, DataSize=1765, Duration=1.261551, RunGuid=RunIDB2054F7B4044DBEC3530C0A8ACF4C293
DDCTransactionIdCDBB6C90404EC455A2B3B7B7CA40CB53_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_569F71BC434D82B251CEE1BDB82C354D__1_0_13123_0, StartTime=2016.05.26-19.04.09, HierarchicalDDC=, DataSize=1583, Duration=1.632743, RunGuid=RunIDB2054F7B4044DBEC3530C0A8ACF4C293
