CookerStat, GenerateAssetRegistry=0.022404, Initialize=0.112299, RunGuid=RunIDC16734024CF83BA45EA358BCAAF291EE
SavePackageTransactionIdCEA5ED3B4A81A5F2A544C7A2D1FCA488_0, Filename=D:/Git/RiggingShooter/GameJamRigging/Saved/Autosaves/Game/Blueprints/GravityWell2_Auto1.uasset, AutoPackageBackupDelegate=19.270412, FlushAsyncLoading=0.008300, FlushStreamingFunc=0.074401, BlockTillAllRequestsFinished=0.006087, ResetLoadersForSaveUnMarkAllObjects=0.320848, TagPackageExports=13.195820, BeginCacheForCookedPlatformData=0.004150, SerializeImports=13.458311, GatherLocalizableTextData=16.638882, MarkNames=0.128891, SerializeSummary=0.020191, SerializeNames=0.321407, SerializeGatherableTextData=0.154063, BuildExportMap=0.250041, SortExportsNonSeekfree=2.184551, SortExportsSeekfreeConstructor=0.071086, SortExportsSeekfreeInner=17.619692, SortExportsSeekfree=0.008848, BuildDependencyMap=0.133321, SerializeImportMap=0.023786, SerializeExportMap=0.079386, SerializeDependencyMap=0.017703, SerializeStringAssetReferenceMap=0.002488, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.760531, SerializeExports=29.261320, SerializeBulkData=0.030980, MoveFile=0.628147, UnaccountedTime=0.187531, RunGuid=RunIDC16734024CF83BA45EA358BCAAF291EE
SavePackageTransactionIdCEA5ED3B4A81A5F2A544C7A2D1FCA488_1, Filename=D:/Git/RiggingShooter/GameJamRigging/Content/Blueprints/GravityWell2.uasset, AutoPackageBackupDelegate=7.982273, FlushAsyncLoading=0.005532, FlushStreamingFunc=0.053380, BlockTillAllRequestsFinished=0.006087, ResetLoadersForSaveUnMarkAllObjects=0.123914, TagPackageExports=14.075119, BeginCacheForCookedPlatformData=0.003319, SerializeImports=15.662223, GatherLocalizableTextData=18.210501, MarkNames=0.103723, SerializeSummary=0.017423, SerializeNames=0.324171, SerializeGatherableTextData=0.190850, BuildExportMap=0.393044, SortExportsNonSeekfree=2.998847, SortExportsSeekfreeConstructor=0.068042, SortExportsSeekfreeInner=23.690411, SortExportsSeekfree=0.010233, BuildDependencyMap=0.235662, SerializeImportMap=0.020746, SerializeExportMap=0.088509, SerializeDependencyMap=0.056151, SerializeStringAssetReferenceMap=0.004422, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.082489, SerializeExports=25.881325, SerializeBulkData=0.012722, MoveFile=0.701170, UnaccountedTime=0.661615, RunGuid=RunIDC16734024CF83BA45EA358BCAAF291EE
SavePackageTransactionIdCEA5ED3B4A81A5F2A544C7A2D1FCA488_2, Filename=D:/Git/RiggingShooter/GameJamRigging/Content/Blueprints/GravityWell2.uasset, AutoPackageBackupDelegate=8.325524, FlushAsyncLoading=0.007194, FlushStreamingFunc=0.056148, BlockTillAllRequestsFinished=0.006914, ResetLoadersForSaveUnMarkAllObjects=0.135809, TagPackageExports=16.789902, BeginCacheForCookedPlatformData=0.006363, SerializeImports=22.354729, GatherLocalizableTextData=19.465137, MarkNames=0.115339, SerializeSummary=0.017982, SerializeNames=0.330254, SerializeGatherableTextData=0.224043, BuildExportMap=0.245892, SortExportsNonSeekfree=2.766784, SortExportsSeekfreeConstructor=0.076067, SortExportsSeekfreeInner=20.326178, SortExportsSeekfree=0.008572, BuildDependencyMap=0.147980, SerializeImportMap=0.020467, SerializeExportMap=0.089064, SerializeDependencyMap=0.058640, SerializeStringAssetReferenceMap=0.004977, SaveThumbNailsAssetRegistryDataWorldLevelInfo=4.447103, SerializeExports=33.057045, SerializeBulkData=0.012722, MoveFile=0.755105, UnaccountedTime=0.588320, RunGuid=RunIDC16734024CF83BA45EA358BCAAF291EE
