CookerStat, GenerateAssetRegistry=0.025053, Initialize=0.130404, RunGuid=RunID9C954ACF421397746C860E9CA2B2F3C9
DDCTransactionIdBAE02D04427CC35BBA4BFF808F04DC8B_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E45E546F4090D98B222B37BF2C940A40__1_0_13123_0, StartTime=2016.05.08-20.26.28, HierarchicalDDC=, DataSize=423, Duration=1.837425, RunGuid=RunID9C954ACF421397746C860E9CA2B2F3C9
DDCTransactionId7A2896794D2D48CB24EB97BF80FAD07E_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_DC78699A45DE343CEFF215BD3AA55C40__1_0_13123_0, StartTime=2016.05.08-20.26.28, HierarchicalDDC=, DataSize=347, Duration=1.731474, RunGuid=RunID9C954ACF421397746C860E9CA2B2F3C9
DDCTransactionIdBAE02D04427CC35BBA4BFF808F04DC8B_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E5EE31B042567F45906C7BA17966FE4F__1_0_13123_0, StartTime=2016.05.08-20.26.28, HierarchicalDDC=, DataSize=347, Duration=1.809653, RunGuid=RunID9C954ACF421397746C860E9CA2B2F3C9
DDCTransactionIdD75680D44CC5A90BD7F5AB9B1C6317C3_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E320E06541789D6020462799DB17DCA2__1_0_13123_0, StartTime=2016.05.08-20.26.28, HierarchicalDDC=, DataSize=347, Duration=1.949716, RunGuid=RunID9C954ACF421397746C860E9CA2B2F3C9
DDCTransactionId7A2896794D2D48CB24EB97BF80FAD07E_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_EFCF1AFA430E61B9B9BD278678C041A7__1_0_13123_0, StartTime=2016.05.08-20.26.28, HierarchicalDDC=, DataSize=347, Duration=1.847085, RunGuid=RunID9C954ACF421397746C860E9CA2B2F3C9
DDCTransactionIdBAE02D04427CC35BBA4BFF808F04DC8B_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E08C31254757CDB36F41969B6A09A7F1__1_0_13123_0, StartTime=2016.05.08-20.26.28, HierarchicalDDC=, DataSize=423, Duration=1.793049, RunGuid=RunID9C954ACF421397746C860E9CA2B2F3C9
DDCTransactionIdD75680D44CC5A90BD7F5AB9B1C6317C3_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_44B25A8B4542578DD1E5B283A0FD4611__1_0_13123_0, StartTime=2016.05.08-20.26.28, HierarchicalDDC=, DataSize=347, Duration=2.059594, RunGuid=RunID9C954ACF421397746C860E9CA2B2F3C9
DDCTransactionId7A2896794D2D48CB24EB97BF80FAD07E_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_CB1BB633470D7D833EDBC3AEDAD59880__1_0_13123_0, StartTime=2016.05.08-20.26.28, HierarchicalDDC=, DataSize=347, Duration=1.719095, RunGuid=RunID9C954ACF421397746C860E9CA2B2F3C9
DDCTransactionIdBAE02D04427CC35BBA4BFF808F04DC8B_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_6C2CAC264BFE9AD7C9B76BA82447ED0C__1_0_13123_0, StartTime=2016.05.08-20.26.28, HierarchicalDDC=, DataSize=347, Duration=1.752302, RunGuid=RunID9C954ACF421397746C860E9CA2B2F3C9
DDCTransactionIdD75680D44CC5A90BD7F5AB9B1C6317C3_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2208217F4ABEE6B03EF6FC87339EE309__1_0_13123_0, StartTime=2016.05.08-20.26.28, HierarchicalDDC=, DataSize=347, Duration=2.032727, RunGuid=RunID9C954ACF421397746C860E9CA2B2F3C9
